group_name,team_name,stage_Name
Group A,Ecuador,group stage
Group A,Netherlands,group stage
Group A,Qatar,group stage
Group A,Senegal,group stage
Group B,England,group stage
Group B,Iran,group stage
Group B,United States,group stage
Group B,Wales,group stage
Group C,Argentina,group stage
Group C,Mexico,group stage
Group C,Poland,group stage
Group C,Saudi Arabia,group stage
Group D,Australia,group stage
Group D,Denmark,group stage
Group D,France,group stage
Group D,Tunisia,group stage
Group E,Costa Rica,group stage
Group E,Germany,group stage
Group E,Japan,group stage
Group E,Spain,group stage
Group F,Belgium,group stage
Group F,Canada,group stage
Group F,Croatia,group stage
Group F,Morocco,group stage
Group G,Brazil,group stage
Group G,Cameroon,group stage
Group G,Serbia,group stage
Group G,Switzerland,group stage
Group H,Ghana,group stage
Group H,Portugal,group stage
Group H,South Korea,group stage
Group H,Uruguay,group stage
