pen_id,match_id,ID,goal
PEN-1,M-2022-53,P-05559,0
PEN-2,M-2022-53,P-22633,0
PEN-3,M-2022-53,P-46913,1
PEN-4,M-2022-53,P-89321,0
PEN-5,M-2022-53,P-22160,1
PEN-6,M-2022-53,P-79215,1
PEN-7,M-2022-53,P-31643,0
PEN-8,M-2022-53,P-89948,1
PEN-9,M-2022-55,P-05265,1
PEN-10,M-2022-55,P-70715,1
PEN-11,M-2022-55,P-00597,0
PEN-12,M-2022-55,P-45288,1
PEN-13,M-2022-55,P-81427,0
PEN-14,M-2022-55,P-30405,0
PEN-15,M-2022-55,P-28010,0
PEN-16,M-2022-57,P-22160,1
PEN-17,M-2022-57,P-64353,1
PEN-18,M-2022-57,P-29491,1
PEN-19,M-2022-57,P-26942,1
PEN-20,M-2022-57,P-06446,0
PEN-21,M-2022-57,P-02305,1
PEN-22,M-2022-57,P-15197,1
PEN-23,M-2022-57,P-76060,0
PEN-24,M-2022-58,P-56029,0
PEN-25,M-2022-58,P-10326,0
PEN-26,M-2022-58,P-35705,1
PEN-27,M-2022-58,P-95036,1
PEN-28,M-2022-58,P-64551,1
PEN-29,M-2022-58,P-14758,1
PEN-30,M-2022-58,P-27582,1
PEN-31,M-2022-58,P-91431,1
PEN-32,M-2022-58,P-10739,0
PEN-33,M-2022-58,P-81505,1
PEN-34,M-2022-64,P-14758,1
PEN-35,M-2022-64,P-28151,1
PEN-36,M-2022-64,P-27582,1
PEN-37,M-2022-64,P-91431,1
PEN-38,M-2022-64,P-64077,1
PEN-39,M-2022-64,P-06614,0
PEN-40,M-2022-64,P-54517,0
PEN-41,M-2022-64,P-92987,1
