;;ID;first name;last name;;;
;;R-013;Abdulrahman;Al-Jassim;;;
;;R-047;Chris;Beath;;;
;;R-147;Alireza;Faghani;;;
;;R-188;Mohammed Abdulla;Hassan Mohamed;;;
;;R-167;Bakary;Gassama;;;
;;R-170;Mustapha;Ghorbal;;;
;;R-173;Victor;Gomes;;;
;;R-405;Janny;Sikazwe;;;
;;R-044;Iván;Barton;;;
;;R-136;Ismail;Elfath;;;
;;R-144;Mario;Escobar;;;
;;R-362;César Arturo;Ramos;;;
;;R-099;Matthew;Conger;;;
;;R-093;Raphael;Claus;;;
;;R-282;Andrés;Matonte;;;
;;R-364;Fernando;Rapallini;;;
;;R-386;Wilton;Sampaio;;;
;;R-432;Facundo;Tello;;;
;;R-448;Jesús;Valenzuela;;;
;;R-153;Stéphanie;Frappart;;;
;;R-265;Danny;Makkelie;;;
;;R-269;Szymon;Marciniak;;;
;;R-279;Antonio;Mateu Lahoz;;;
;;R-325;Michael;Oliver;;;
;;R-327;Daniele;Orsato;;;
;;R-404;Daniel;Siebert;;;
;;R-428;Anthony;Taylor;;;
;;R-441;Clément;Turpin;;;
;;R-468;Slavko;Vincic;;;
;;;;;;;
